"brood_ID" "alias"
"395" "2009_D_2" "brood_395"
"396" "2009_D_3" "brood_396"
"397" "2009_D_4" "brood_397"
"398" "2009_D_5" "brood_398"
"399" "2009_D_6" "brood_399"
"400" "2009_D_7" "brood_400"
"401" "2009_D_8" "brood_401"
"402" "2009_D_9" "brood_402"
"403" "2009_E_1" "brood_403"
"404" "2009_E_2" "brood_404"
"405" "2009_E_3" "brood_405"
"406" "2009_E_4" "brood_406"
"407" "2009_E_5" "brood_407"
"408" "2009_E_6" "brood_408"
"409" "2009_E_7" "brood_409"
"410" "2009_E_8" "brood_410"
"411" "2009_E_9" "brood_411"
"412" "2009_G_1" "brood_412"
"413" "2009_G_2" "brood_413"
"414" "2009_G_3" "brood_414"
"415" "2009_G_4" "brood_415"
"416" "2009_G_5" "brood_416"
"417" "2009_G_6" "brood_417"
"418" "2009_G_7" "brood_418"
"419" "2009_G_8" "brood_419"
"420" "2009_G_9" "brood_420"
"421" "2010_A_1" "brood_421"
"422" "2010_A_10" "brood_422"
"423" "2010_A_101" "brood_423"
"424" "2010_A_102" "brood_424"
"425" "2010_A_103" "brood_425"
"426" "2010_A_104" "brood_426"
"427" "2010_A_105" "brood_427"
"428" "2010_A_106" "brood_428"
"429" "2010_A_107" "brood_429"
"430" "2010_A_108" "brood_430"
"431" "2010_A_109" "brood_431"
"432" "2010_A_11" "brood_432"
"433" "2010_A_110" "brood_433"
"434" "2010_A_111" "brood_434"
"435" "2010_A_112" "brood_435"
"436" "2010_A_113" "brood_436"
"437" "2010_A_114" "brood_437"
"438" "2010_A_115" "brood_438"
"439" "2010_A_116" "brood_439"
"440" "2010_A_117" "brood_440"
"441" "2010_A_12" "brood_441"
"442" "2010_A_13" "brood_442"
"443" "2010_A_14" "brood_443"
"444" "2010_A_15" "brood_444"
"445" "2010_A_16" "brood_445"
"446" "2010_A_17" "brood_446"
"447" "2010_A_18" "brood_447"
"448" "2010_A_19" "brood_448"
"449" "2010_A_2" "brood_449"
"450" "2010_A_20" "brood_450"
"451" "2010_A_21" "brood_451"
"452" "2010_A_22" "brood_452"
"453" "2010_A_23" "brood_453"
"454" "2010_A_24" "brood_454"
"455" "2010_A_25" "brood_455"
"456" "2010_A_26" "brood_456"
"457" "2010_A_27" "brood_457"
"458" "2010_A_28" "brood_458"
"459" "2010_A_29" "brood_459"
"460" "2010_A_3" "brood_460"
"461" "2010_A_30" "brood_461"
"462" "2010_A_31" "brood_462"
"463" "2010_A_4" "brood_463"
"464" "2010_A_5" "brood_464"
"465" "2010_A_6" "brood_465"
"466" "2010_A_7" "brood_466"
"467" "2010_A_8" "brood_467"
