"Phi" "p" "model" "npar" "AICc" "DeltaAICc" "weight" "Deviance" "iter"
"106" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2298.13506475123 18.8422602568444 5.62606576456787e-05 514.17966 77
"56" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2298.70915263158 19.416348137197 4.22224281334711e-05 510.71155 78
"36" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2299.96324137447 20.670436880092 2.25538815232495e-05 513.98818 79
"46" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2303.27165263158 23.978848137197 4.31329258034612e-06 515.27402 80
"76" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2306.09906475123 26.8062602568443 1.04916592608723e-06 522.14364 81
"26" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2306.44264137447 27.1498368800917 8.83562879159047e-07 520.46752 82
"66" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2317.81961680672 38.5268123123406 2.99060211573198e-09 535.88103 83
"18" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2318.82316475123 39.5303602568442 1.81067693279179e-09 534.86775 84
"57" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2227.44886262834 0 0.973471620853605 453.04961 85
"97" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2236.38146262834 8.93260000000009 0.011184944945101 461.98225 86
"87" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2238.25530738714 10.806444758804 0.00438261813409966 465.87798 87
"107" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2238.28601626794 10.8371536396057 0.00431583947162289 467.92787 88
"117" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2239.38686262834 11.9380000000001 0.00248896925938788 464.98764 89
"37" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2239.49580738714 12.0469447588039 0.00235701571974778 467.11851 90
"127" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2240.03618767123 12.5873250428958 0.00179895537870697 463.6122 91
