"Phi" "p" "model" "npar" "AICc" "DeltaAICc" "weight" "Deviance" "iter"
"910" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10198.5762673127 35.5174504212791 1.93857939437628e-08 5880.3762 104
"610" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10202.8183523855 39.7595354940386 2.32448379447856e-09 5890.6551 105
"210" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10528.0528159943 364.993999102924 0 6225.932 106
"410" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10530.0314275602 366.972610668756 0 6225.9042 107
"510" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10531.9849863111 368.926169419656 0 6225.8507 108
"110" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10534.1891509434 371.130334051983 0 6234.0744 109
"310" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10536.1778159943 373.118999102924 0 6234.0568 110
"1011" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9784.93795900217 0 0.999995193762443 5617.026 111
"611" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9810.5702226179 25.6322636157329 2.71658056399855e-06 5656.7596 112
"711" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9812.19269025271 27.2547312505376 1.20700263649037e-06 5656.3705 113
"811" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9813.44282638421 28.5048673820384 6.46017982238784e-07 5655.6081 114
"911" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 9815.45143171202 30.5134727098466 2.36636373948457e-07 5655.6032 115
"111" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10185.1534161461 400.215457143913 0 6043.3919 116
"211" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10185.3161874549 400.37822845277 0 6041.5485 117
"311" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10185.8951874549 400.957228452769 0 6042.1283 118
"411" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10186.0939230769 401.155964074753 0 6040.3197 119
"511" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10187.8616237076 402.923664705453 0 6040.0804 120
"1012" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9979.94830643777 0 0.999978877011304 5733.0163 121
"912" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10002.1333867299 22.1850802920908 1.52251594844023e-05 5763.2611 122
"612" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10005.3357399188 25.3874334810425 3.07029207107311e-06 5772.4988 123
"712" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10006.5301812317 26.5818747939047 1.68970175630155e-06 5771.6823 124
"812" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10007.3210299639 27.3727235261322 1.13783538425508e-06 5770.4614 125
"512" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10447.4514543611 467.503147923288 0 6220.6416 126
"412" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10450.5602365931 470.611930155292 0 6225.7576 127
"312" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10451.8989231809 471.950616743128 0 6229.1028 128
"212" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10454.4369231809 474.488616743129 0 6231.641 129
"112" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10456.1435135135 476.195207075745 0 6235.3524 130
"1013" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10294.9615535466 0 0.999364968043199 6013.3682 131
